"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C_fb1","1,2nF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","1",""
"C_in1","120uF","~","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","1",""
"C_out1","470uF","~","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","1",""
"D1","D_Schottky","~","Diode_THT:D_5W_P12.70mm_Horizontal","1",""
"J_in1,J_out1","Screw_Terminal_01x03","~","TerminalBlock_TE-Connectivity:TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal","2",""
"J_on/off1","Conn_01x03_Pin","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"L1","47uHy","~","Inductor_SMD:L_Coilcraft_MSS1210-XXX","1",""
"R_fb1","1k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R_fb2a1","2,7k","~","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","1",""
"R_fb2b1","330","~","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical","1",""
"U1","LM2596S-ADJ","http://www.ti.com/lit/ds/symlink/lm2596.pdf","Package_TO_SOT_SMD:TO-263-5_TabPin3","1",""
